ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
1160,I am a developer by profession,Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,Other (please specify):,19,16,"Developer, game or graphics;Developer, embedded applications or devices","10,000 or more employees",EUR European Euro,52000.0,Yearly,C;C++;Python,C;C++;Python,,,,,,,NumPy;Qt;TensorFlow,NumPy;Qt;TensorFlow;Torch/PyTorch,Docker;Git,Docker;Git;Kubernetes,PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code,Sublime Text;Vim;Visual Studio;Visual Studio Code,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Google it,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",Yes,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,56211.0
1342,I am a student who is learning to code,"Student, full-time",Portugal,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",6,,,,,,,Assembly;Bash/Shell;C;HTML/CSS;JavaScript;Node.js;Python;SQL,Bash/Shell;C;C++;HTML/CSS;JavaScript;Node.js;Python;Rust,MariaDB;MongoDB;MySQL,MongoDB;PostgreSQL;SQLite,AWS,AWS,Django;Express;React.js;Vue.js,Express;React.js;Ruby on Rails;Vue.js,,,Git,Docker;Git;Yarn,Vim;Visual Studio Code,Vim;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"No, not really",No,18-24 years old,Man,No,Gay or Lesbian,White or of European descent,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Too short,Easy,
1391,I am a student who is learning to code,"Student, full-time",Portugal,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,School,3,,,,,,,Assembly;Bash/Shell;C;C++;Java;JavaScript;Python,Bash/Shell;C#;C++;Rust;TypeScript,,,,,,,,,,,IPython/Jupyter;PyCharm;Sublime Text;Visual Studio Code,IPython/Jupyter;Neovim;Sublime Text;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Play games;Panic,Stack Overflow;Stack Exchange,A few times per month or weekly,No,,Not sure,No,18-24 years old,Man,No,,White or of European descent,,,,Easy,
1430,I am a developer by profession,Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,School,18,13,"Developer, back-end",10 to 19 employees,EUR European Euro,4600.0,Monthly,Bash/Shell;HTML/CSS;JavaScript;PowerShell;Python;SQL,Bash/Shell;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript,Elasticsearch;MySQL;PostgreSQL;SQLite,MySQL;PostgreSQL;SQLite,DigitalOcean,DigitalOcean,Django;Flask;jQuery,Django;Express;Flask;jQuery;React.js,NumPy;Pandas,.NET Framework;.NET Core / .NET 5,Docker;Git,Git,IPython/Jupyter;Notepad++;PyCharm;Vim;Visual Studio;Visual Studio Code,IPython/Jupyter;Notepad++;PyCharm;Visual Studio;Visual Studio Code,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,I have an anxiety disorder,Appropriate in length,Easy,59676.0
1437,I am a student who is learning to code,"Student, full-time",Portugal,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum",2,,,,,,,C;C#;C++;SQL,C#;Java;Python;SQL,,,,,,,.NET Framework,,,,Visual Studio,,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,I have an anxiety disorder,Appropriate in length,Easy,
1687,I am a developer by profession,Employed full-time,Portugal,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",10,6,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator",20 to 99 employees,EUR European Euro,1400.0,Monthly,HTML/CSS;Java;JavaScript;Node.js;PHP;SQL;TypeScript,C#;HTML/CSS;Java;JavaScript;Node.js;PHP;Rust;SQL;TypeScript,Microsoft SQL Server;MySQL,Elasticsearch;Microsoft SQL Server;MySQL,IBM Cloud or Watson;Microsoft Azure,IBM Cloud or Watson;Microsoft Azure,Angular;Express;jQuery;React.js,Angular;ASP.NET Core ;Express;jQuery;React.js;Svelte;Vue.js,,,,,Android Studio;Visual Studio;Visual Studio Code,Android Studio;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,18156.0
1729,I am a developer by profession,Employed full-time,Portugal,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Other (please specify):",12,2,"Developer, mobile",10 to 19 employees,EUR European Euro,1005.0,Monthly,Assembly;Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;Objective-C;PHP;Python;SQL,Kotlin;Swift;TypeScript,Microsoft SQL Server;MySQL;Oracle,PostgreSQL,,,jQuery,Express;Gatsby;React.js,.NET Framework;.NET Core / .NET 5;TensorFlow,React Native,Git;Xamarin,Docker;Git;Kubernetes,Android Studio;Atom;Eclipse;Notepad++;Sublime Text;Visual Studio;Visual Studio Code;Xcode,Android Studio;Visual Studio Code;Xcode,Windows,Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,13032.0
1850,I am a developer by profession,Employed full-time,Portugal,,,"Other doctoral degree (Ph.D., Ed.D., etc.)",11 - 17 years,Friend or family member,17,7,"Developer, full-stack;Developer, QA or test",2 to 9 employees,EUR European Euro,2400.0,Monthly,Java;JavaScript;Node.js;Rust;TypeScript,JavaScript;Node.js;Rust;TypeScript,MySQL,,,,jQuery;React.js,,,,Docker;Git,Docker;Git;Kubernetes,IntelliJ;Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",No,25-34 years old,Man,No,,White or of European descent,,,Too short,Neither easy nor difficult,31128.0
1951,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",20,15,"Developer, full-stack;Developer, back-end;DevOps specialist","Just me - I am a freelancer, sole proprietor, etc.",EUR European Euro,88000.0,Yearly,Assembly;C;C#;C++;HTML/CSS;JavaScript;Matlab;PHP;PowerShell;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Elasticsearch;IBM DB2;Microsoft SQL Server;Oracle;PostgreSQL,Elasticsearch;Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;React.js,ASP.NET Core ;React.js,.NET Framework;.NET Core / .NET 5;Flutter;React Native,.NET Core / .NET 5;React Native,Docker;Git,Git,Android Studio;Eclipse;NetBeans;Notepad++;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",Yes,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,95126.0
1973,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Portugal,,,Some college/university study without earning a degree,11 - 17 years,School,20,13,"Developer, back-end;Database administrator;DevOps specialist",10 to 19 employees,EUR European Euro,86000.0,Yearly,Crystal;Elixir;HTML/CSS;Ruby,Crystal;Elixir;F#;HTML/CSS;JavaScript;Ruby,PostgreSQL;Redis,PostgreSQL;Redis;SQLite,AWS,,Ruby on Rails,,,,Docker;Git;Kubernetes,Docker;Git,Sublime Text,Sublime Text,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later;Play games;Panic,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent;Multiracial,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder)",Appropriate in length,Easy,92964.0
2036,I am a developer by profession,"Student, full-time",Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5 - 10 years,Friend or family member,,,,,,,,HTML/CSS;JavaScript;Node.js;Python,Go,MongoDB;Redis,Elasticsearch;SQLite,DigitalOcean;Google Cloud Platform,AWS,Express;Flask;React.js;Vue.js,,Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Apache Spark,Docker;Git;Yarn,Deno;Docker;Git;Kubernetes,IPython/Jupyter;Sublime Text;Vim,Vim,Linux-based,Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,
2488,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School;Other (please specify):,27,22,Data scientist or machine learning specialist;Educator,"10,000 or more employees",EUR European Euro,60000.0,Yearly,PowerShell;Python;R;Scala;SQL,PowerShell;Python;R;Scala;SQL,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,AWS;Microsoft Azure,AWS;Microsoft Azure,,,Apache Spark;Hadoop;Keras;NumPy;Pandas;TensorFlow,Apache Spark;Hadoop;Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Kubernetes,Kubernetes,IPython/Jupyter;Notepad++;RStudio;Visual Studio;Visual Studio Code,IPython/Jupyter;Notepad++;RStudio;Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,Yes,Daily or almost daily,"Yes, definitely",Yes,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent;Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Easy,64859.0
2501,I am a developer by profession,Employed full-time,Portugal,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",7,6,"Developer, front-end;Developer, full-stack",100 to 499 employees,EUR European Euro,62500.0,Yearly,Bash/Shell;Elixir;HTML/CSS;JavaScript;Node.js;Ruby;TypeScript,HTML/CSS;JavaScript;TypeScript,PostgreSQL;Redis,,AWS,,React.js;Ruby on Rails,,,,Deno;Docker;Git;Kubernetes;Terraform;Yarn,Deno;Git,Visual Studio Code,Visual Studio Code,MacOS,Do other work and come back later;Other (please specify):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent;Multiracial,None of the above,None of the above,Appropriate in length,Easy,67561.0
2530,I am a developer by profession,Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School,10,3,"Developer, full-stack",2 to 9 employees,EUR European Euro,,Monthly,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,HTML/CSS;JavaScript;Node.js;PHP;TypeScript,Elasticsearch;Firebase;MongoDB;MySQL;Redis,Elasticsearch;MongoDB,AWS;Microsoft Azure,,jQuery;Laravel;Vue.js,Laravel;Vue.js,Cordova,Flutter,Docker;Git;Unity 3D,Docker;Git,Android Studio;Notepad++;PHPStorm;Vim;Visual Studio Code;Xcode,Notepad++;Vim;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"No, not really",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,,Prefer not to say,Too long,Easy,
2608,I am a developer by profession,Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35 - 44 years,School;Online Forum;Friend or family member,23,15,"Developer, full-stack;DevOps specialist",10 to 19 employees,EUR European Euro,1600.0,Monthly,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;SQL,Kotlin,MariaDB;MySQL;Oracle;PostgreSQL,Elasticsearch;MongoDB;Redis,DigitalOcean,AWS,,,,,Docker;Git,Ansible;Docker;Git;Kubernetes;Terraform,Eclipse;Visual Studio Code,Eclipse;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,"Yes, definitely",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,20760.0
2630,I am a student who is learning to code,"Student, full-time",Portugal,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",3,,,,,,,Assembly;C;HTML/CSS;Python,C;C#;C++;HTML/CSS;Java;JavaScript;Python;SQL,PostgreSQL,MongoDB;PostgreSQL,Heroku,,Django;Flask,Django,Qt,,Git,Git,Visual Studio Code,Visual Studio Code,Linux-based,Google it;Visit another developer community (please name):,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,"No, not at all",No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,
2733,I am a developer by profession,Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School,20,15,"Developer, full-stack","1,000 to 4,999 employees",EUR European Euro,,Monthly,Python,Python,Microsoft SQL Server,,,,,,NumPy,,,,Notepad++;PyCharm,Notepad++,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Play games;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, somewhat",Yes,35-44 years old,,,,,,,Appropriate in length,Easy,
2872,"I am not primarily a developer, but I write code sometimes as part of my work","Independent contractor, freelancer, or self-employed",Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Colleague",9,4,"Developer, desktop or enterprise applications;Academic researcher;Scientist;Educator",20 to 99 employees,EUR European Euro,3000.0,Monthly,APL;JavaScript;PHP;Python,APL;C++;Haskell;JavaScript;Python,,,Google Cloud Platform;Microsoft Azure,,Flask,FastAPI;Flask,NumPy;Torch/PyTorch,NumPy;Torch/PyTorch,Git,Docker;Git,IPython/Jupyter;Notepad++;Visual Studio Code,IPython/Jupyter;Notepad++;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,Neutral,Yes,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,38916.0
3100,I am a developer by profession,Employed full-time,Portugal,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",15,10,"Developer, front-end;Developer, desktop or enterprise applications;Developer, back-end;Developer, embedded applications or devices","10,000 or more employees",EUR European Euro,36000.0,Yearly,Bash/Shell;C;C++;Java;SQL,Bash/Shell;C;C++;SQL,MariaDB;MySQL;SQLite,MariaDB;PostgreSQL;SQLite,,,,,,,Git,Git,Android Studio;Vim;Visual Studio Code,Vim,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later;Other (please specify):,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"No, not really",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,"Or, in your own words:",None of the above,Appropriate in length,Neither easy nor difficult,38915.0
3212,I am a student who is learning to code,Employed part-time,Portugal,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",9,,"Developer, back-end;Student;Engineer, site reliability;System administrator",,,,,Bash/Shell;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Julia;LISP;Node.js;Python;Rust;SQL;TypeScript,Bash/Shell;C#;Go;Python;Rust;SQL,MariaDB;PostgreSQL;SQLite,PostgreSQL;SQLite,AWS;Google Cloud Platform,Google Cloud Platform,Flask;Spring;Vue.js,,.NET Core / .NET 5;NumPy;Qt,,Ansible;Docker;Git;Terraform,Ansible;Docker;Git;Kubernetes;Terraform,Emacs;IntelliJ;Neovim;Vim;Visual Studio Code,Emacs;Neovim;Vim,Linux-based,Google it;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",No,18-24 years old,Man,No,Bisexual,White or of European descent,,I have a concentration and/or memory disorder (e.g. ADHD),,Neither easy nor difficult,
